repo_owner,repo_name,issue_number,pr_url,commit_url
facebookincubator,velox,5324,https://github.com/facebookincubator/velox/pull/5651,https://github.com/facebookincubator/velox/commit/05c6e8ea3d467be38287324ec5a92c0b6bb4dfc5
facebookincubator,velox,3863,https://github.com/facebookincubator/velox/pull/3868,https://github.com/facebookincubator/velox/commit/591877950a55f2e06705059ba97bc1c02dbb8b87
facebookincubator,velox,3173,https://github.com/facebookincubator/velox/pull/3174,https://github.com/facebookincubator/velox/commit/ba95637ba14a2120f4ad55b1e3ef0a4f908ac9bf
ispc,ispc,2777,https://github.com/ispc/ispc/pull/2781,https://github.com/ispc/ispc/commit/8bdc1e1e13b54fe540bc8c50ba51b4582a70571f
ispc,ispc,2468,https://github.com/ispc/ispc/pull/2586,https://github.com/ispc/ispc/commit/dda39e5da5cecf251602e1e03400a6cac24b7dc6
ispc,ispc,1678,https://github.com/ispc/ispc/pull/2560,https://github.com/ispc/ispc/commit/cd5407cf48a49ee9b03160b842560d7fe3fcda25
ispc,ispc,1498,https://github.com/ispc/ispc/pull/2560,https://github.com/ispc/ispc/commit/cd5407cf48a49ee9b03160b842560d7fe3fcda25
ispc,ispc,712,https://github.com/ispc/ispc/pull/737,https://github.com/ispc/ispc/commit/cc81cd32157d5df761521b6112fd4c64fccac836
randombit,botan,2710,https://github.com/randombit/botan/pull/3424,https://github.com/randombit/botan/commit/f87b77ff8151b5510de5b9b3d6fa75bca6e8877f
randombit,botan,934,https://github.com/randombit/botan/pull/2022,https://github.com/randombit/botan/commit/6279da6687ce7fc0e9b2ea3699daf5d55276a21b
contour-terminal,contour,1229,https://github.com/contour-terminal/contour/pull/1520,https://github.com/contour-terminal/contour/commit/3486e5a2d6d97aa7436c4aa5771695bb3ab3cf1a
contour-terminal,contour,811,https://github.com/contour-terminal/contour/pull/815,https://github.com/contour-terminal/contour/commit/1481c3fe9aeb8f962fcdf8c3072671c89cbb9aa9
CytopiaTeam,Cytopia,565,https://github.com/CytopiaTeam/Cytopia/pull/759,https://github.com/CytopiaTeam/Cytopia/commit/39624536c1859a920e15bb5b6f12c863f836b6c4
h2oai,datatable,2362,https://github.com/h2oai/datatable/pull/2364,https://github.com/h2oai/datatable/commit/32124753976bd2aa5ad69fc7aa1f8eed3917edbe
h2oai,datatable,1591,https://github.com/h2oai/datatable/pull/1867,https://github.com/h2oai/datatable/commit/3e13413143fd0c31aa2f9490cd969623346d518a
h2oai,datatable,1284,https://github.com/h2oai/datatable/pull/1285,https://github.com/h2oai/datatable/commit/e43b1a9c079bf4e54e66439acf68842186a8eb4d
h2oai,datatable,1122,https://github.com/h2oai/datatable/pull/1123,https://github.com/h2oai/datatable/commit/b4304a7cb4693be1f926319139f9e59801c74b11
h2oai,datatable,818,https://github.com/h2oai/datatable/pull/822,https://github.com/h2oai/datatable/commit/c68b2263b697fa2f69465b70f18122939918e614
h2oai,datatable,433,https://github.com/h2oai/datatable/pull/434,https://github.com/h2oai/datatable/commit/c1a5f0f9857445de1a365f52531183d65b715835
h2oai,datatable,401,https://github.com/h2oai/datatable/pull/430,https://github.com/h2oai/datatable/commit/c5669d018609c71e72ad3447211a6b07b5b02f6f
